Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,IsHoliday,Year,Month,Day,SalesPerCustomer,WeekdayOpenCategory,DistanceBand,CompOpenDate,CompetitorAppeared,WeekOfYear,IsWeekend,Sales_scaled
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2,2013-01-02,5530.0,668.0,1.0,0.0,0,0.0,0,2013,1,2,8.278443113772456,Others,1k-2k,2008-09-01,True,1,0,-0.11582472788166354
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",3,2013-01-03,4327.0,578.0,1.0,0.0,0,0.0,0,2013,1,3,7.486159169550173,Others,1k-2k,2008-09-01,True,1,0,-0.4515768908735698
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",4,2013-01-04,4486.0,619.0,1.0,0.0,0,0.0,0,2013,1,4,7.247172859450727,Others,1k-2k,2008-09-01,True,1,0,-0.40720066982975167
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",5,2013-01-05,4997.0,635.0,1.0,0.0,0,0.0,0,2013,1,5,7.869291338582677,Others,1k-2k,2008-09-01,True,1,1,-0.26458275188389635
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",0,2013-01-07,7176.0,785.0,1.0,1.0,0,0.0,0,2013,1,7,9.14140127388535,Others,1k-2k,2008-09-01,True,2,0,0.3435668434272956
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",1,2013-01-08,5580.0,654.0,1.0,1.0,0,0.0,0,2013,1,8,8.53211009174312,Others,1k-2k,2008-09-01,True,2,0,-0.10186994138989691
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",2,2013-01-09,5471.0,626.0,1.0,1.0,0,0.0,0,2013,1,9,8.73961661341853,Others,1k-2k,2008-09-01,True,2,0,-0.13229137594194817
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",3,2013-01-10,4892.0,615.0,1.0,1.0,0,0.0,0,2013,1,10,7.954471544715447,Others,1k-2k,2008-09-01,True,2,0,-0.29388780351660637
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",4,2013-01-11,4881.0,592.0,1.0,1.0,0,0.0,0,2013,1,11,8.244932432432432,Others,1k-2k,2008-09-01,True,2,0,-0.296957856544795
1.0,2,0,1270.0,9.0,2008.0,0.0,14.0,2011.0,"Jan,Apr,Jul,Oct",5,2013-01-12,4952.0,646.0,1.0,0.0,0,0.0,0,2013,1,12,7.6656346749226,Others,1k-2k,2008-09-01,True,2,1,-0.2771420597264862
